"name","residential pop.","daytime pop."
"Barking and Dagenham",48.5662494419373,53.3890738364564
"Barnet",26.6284309709136,30.1756483471758
"Bexley",26.8796579266111,31.7323006935716
"Brent",46.4726957248205,51.8621312850965
"Bromley",31.6071520918447,36.3140109175981
"Camden",51.7750002269241,29.7000575360512
"City of London",201.898305084746,4.13524960077762
"Croydon",41.466461921195,48.5061534053779
"Ealing",45.9330652476444,50.8027594140003
"Enfield",31.6674454180615,35.3110368847779
"Greenwich",46.8657314471808,53.5164766151389
"Hackney",50.0385755471637,53.2849619053384
"Hammersmith and Fulham",48.7032379324138,42.8411676242625
"Haringey",42.8163467045339,51.5885394511717
"Harrow",27.1693661736162,32.675299586465
"Havering",31.5893302758481,35.872421699608
"Hillingdon",42.718007125752,37.9112833205904
"Hounslow",46.2007347700595,45.8655345897198
"Islington",53.1764705882353,41.0865963460255
"Kensington and Chelsea",37.4726597709409,30.6751631794845
"Kingston upon Thames",31.3882294139698,33.3689782742978
"Lambeth",50.9855288597956,56.364896410855
"Lewisham",48.8355655436142,61.6336837482502
"Merton",28.4436610196652,33.3997800789129
"Newham",47.5316899579199,52.3874791097815
"Redbridge",31.6844105100907,37.9322035353037
"Richmond upon Thames",23.5199743301781,26.472447106269
"Southwark",50.6516166405927,44.9992912041517
"Sutton",30.0979247525586,34.7478157388237
"Tower Hamlets",51.8465461872678,35.7794676806084
"Waltham Forest",43.0437291141495,51.3702111927538
"Wandsworth",29.5021091548722,36.789256903317
"Westminster",75.6394829440828,24.0656523176695
"max",202,202
"min",0,0
